particle_id,lag_s,lag_step,start_index,end_index,t_start_s,t_end_s,t_pair_end_s,n_displacements,n_coordinate_points,expected_x2_um2,selection_score,normalized_mean,msd_penalty,stationarity_penalty,skewness,excess_kurtosis,selection_strategy,selection_objective,target_abs_error_pct,candidate_rank,lag_candidates_evaluated
particle1,0.49999999999998934,5,4040,4790,404.0,478.5,479.0,150,151,19.034455612219716,0.06205132582191513,0.02105038399304437,0.011071671187958253,0.32994228457556457,-0.12293320223687938,0.02834916477643379,target_kb,0.004439096781310208,2.996181416476909,1,3
particle1,0.9999999999999787,10,490,1990,49.0,198.0,199.0,150,151,38.06891122443943,0.1121819892738277,0.08437009512993639,0.01118479376825155,0.08034721318042397,0.10314073880401682,-0.3359089804592199,target_kb,0.008826844570937834,3.0077050246781996,2,3
particle1,1.599999999999966,16,1841,4241,184.1,422.5,424.1,150,151,60.9102579591031,0.028786323260034493,0.008979638656905417,0.011018950227084514,0.004901334991424807,0.09610931804568758,-0.27583386970286217,target_kb,0.00947704293135056,2.99081082030125,3,3
particle2,0.4999999999999716,5,1789,2539,178.9,253.4,253.9,150,151,20.91250059632929,0.14063351904000074,0.005169585767628382,0.16518538056940774,0.053723820048425956,-0.10659191933589444,-0.40826661212472626,target_kb,0.02465965498920208,2.976746680201198,3,3
particle2,0.9999999999999432,10,227,1727,22.7,171.7,172.7,150,151,41.82500119265858,0.22028787356487592,0.05387850909616975,0.16497937389666253,0.2229566421922498,-0.4466946695721852,-0.4301015154821264,target_kb,0.004361065228129877,3.002158186492481,2,3
particle2,1.599999999999909,16,44,2444,4.4,242.8,244.4,150,151,66.92000190825372,0.20724433114700014,0.08280758725272135,0.1650026607180731,0.03563932866589677,-0.07448797129985205,-0.09437346133453195,target_kb,0.002786752165333256,2.9992856911461367,1,3
particle3,0.4999999999999716,5,1962,2712,196.2,270.7,271.2,150,151,19.120250426360993,0.15581859233631234,0.009893368386160329,0.17611587622846128,0.1544127657868254,0.18110825080073678,-0.04942707148985015,target_kb,0.003257450791995823,3.0016992648686327,1,3
particle3,0.9999999999999432,10,818,2318,81.8,230.8,231.8,150,151,38.240500852721986,0.17400481030025994,0.030667673905406496,0.17615651315863518,0.09716107827549404,-0.21118790305400525,-0.06781183076276065,target_kb,0.005121197749035577,2.996618850353967,2,3
particle3,1.599999999999909,16,211,2611,21.1,259.5,261.1,150,151,61.184801364355174,0.20886032451369976,0.06401413719014377,0.17646644655207924,0.12944113417316694,0.05398432815203835,0.33060670382581003,target_kb,0.044217515182709506,2.9578710880624275,3,3
particle4,0.5000000000000071,5,4591,5341,459.1,533.6,534.1,150,151,35.092467901006344,0.4302539185079144,0.01865811782868877,0.5313381194393465,0.08538868049953817,-0.2950769060647233,0.7229670931393564,target_kb,0.004989441578004381,2.9993130976070748,1,3
particle4,1.0000000000000142,10,2639,4139,263.9,412.9,413.9,150,151,70.18493580201269,0.418072624193458,0.007659700953593429,0.531272131869786,0.33064544836199067,0.20708632015545814,-0.06865916217128865,target_kb,0.017996122029501432,3.013815395787567,2,3
particle4,1.6000000000000227,16,1972,4372,197.2,435.6,437.2,150,151,112.29589728322031,0.5235544469774966,0.12022592396804711,0.5312530916965914,0.23958909945891851,0.18752456948787694,-0.1163200956291277,target_kb,0.023235459719314778,3.01799991524954,3,3
