drop_id,lag_s,lag_frames,sample_count,mean_dx_um,msd_um2,mean_dx_m,msd_m2
all,1.0,10,4785,-0.06306584906472014,58.83867707867776,-6.306584906472013e-08,5.883867707867776e-11
all,2.0,20,4775,-0.10359457596586596,102.44403810330304,-1.0359457596586595e-07,1.0244403810330305e-10
all,3.0,30,4765,-0.1219896768179663,145.1091780359122,-1.2198967681796628e-07,1.451091780359122e-10
all,4.0,40,4755,-0.11072782347504037,189.93848791524934,-1.1072782347504037e-07,1.8993848791524935e-10
all,5.0,50,4745,-0.09861079427111108,233.845426055967,-9.861079427111107e-08,2.33845426055967e-10
all,6.0,60,4735,-0.09265711994731063,270.3420309214257,-9.265711994731063e-08,2.703420309214257e-10
all,7.0,70,4725,-0.07592789180407578,302.0065338488703,-7.592789180407577e-08,3.020065338488703e-10
all,8.0,80,4715,-0.07787942245501595,334.18883828506654,-7.787942245501594e-08,3.341888382850665e-10
all,9.0,90,4705,-0.11072598639719441,365.0459104029041,-1.107259863971944e-07,3.650459104029041e-10
all,10.0,100,4695,-0.1640828262114934,396.93432171157013,-1.6408282621149339e-07,3.9693432171157013e-10
all,11.0,110,4685,-0.25939218252665647,429.4020160419438,-2.5939218252665647e-07,4.294020160419438e-10
all,12.0,120,4675,-0.3495995013994491,465.26153217172606,-3.495995013994491e-07,4.6526153217172604e-10
all,13.0,130,4665,-0.46025667065151565,500.39199178112057,-4.602566706515156e-07,5.003919917811206e-10
all,14.0,140,4655,-0.581501509534736,538.8213273277884,-5.81501509534736e-07,5.388213273277883e-10
all,15.0,150,4645,-0.6929573539104886,579.7862644082519,-6.929573539104886e-07,5.797862644082519e-10
all,16.0,160,4635,-0.797914268523812,621.1097393026396,-7.97914268523812e-07,6.211097393026396e-10
all,17.0,170,4625,-0.9096582612987074,662.0562229716022,-9.096582612987074e-07,6.620562229716022e-10
all,18.0,180,4615,-1.0165327670829,699.656212506119,-1.0165327670829e-06,6.99656212506119e-10
all,19.0,190,4605,-1.1584914863259876,734.0615260274601,-1.1584914863259877e-06,7.340615260274601e-10
all,20.0,200,4595,-1.3271753880508053,768.2801288166999,-1.3271753880508053e-06,7.682801288166999e-10
drop1,1.0,10,4785,-0.06306584906472014,58.83867707867776,-6.306584906472013e-08,5.883867707867776e-11
drop1,2.0,20,4775,-0.10359457596586596,102.44403810330304,-1.0359457596586595e-07,1.0244403810330305e-10
drop1,3.0,30,4765,-0.1219896768179663,145.1091780359122,-1.2198967681796628e-07,1.451091780359122e-10
drop1,4.0,40,4755,-0.11072782347504037,189.93848791524934,-1.1072782347504037e-07,1.8993848791524935e-10
drop1,5.0,50,4745,-0.09861079427111108,233.845426055967,-9.861079427111107e-08,2.33845426055967e-10
drop1,6.0,60,4735,-0.09265711994731063,270.3420309214257,-9.265711994731063e-08,2.703420309214257e-10
drop1,7.0,70,4725,-0.07592789180407578,302.0065338488703,-7.592789180407577e-08,3.020065338488703e-10
drop1,8.0,80,4715,-0.07787942245501595,334.18883828506654,-7.787942245501594e-08,3.341888382850665e-10
drop1,9.0,90,4705,-0.11072598639719441,365.0459104029041,-1.107259863971944e-07,3.650459104029041e-10
drop1,10.0,100,4695,-0.1640828262114934,396.93432171157013,-1.6408282621149339e-07,3.9693432171157013e-10
drop1,11.0,110,4685,-0.25939218252665647,429.4020160419438,-2.5939218252665647e-07,4.294020160419438e-10
drop1,12.0,120,4675,-0.3495995013994491,465.26153217172606,-3.495995013994491e-07,4.6526153217172604e-10
drop1,13.0,130,4665,-0.46025667065151565,500.39199178112057,-4.602566706515156e-07,5.003919917811206e-10
drop1,14.0,140,4655,-0.581501509534736,538.8213273277884,-5.81501509534736e-07,5.388213273277883e-10
drop1,15.0,150,4645,-0.6929573539104886,579.7862644082519,-6.929573539104886e-07,5.797862644082519e-10
drop1,16.0,160,4635,-0.797914268523812,621.1097393026396,-7.97914268523812e-07,6.211097393026396e-10
drop1,17.0,170,4625,-0.9096582612987074,662.0562229716022,-9.096582612987074e-07,6.620562229716022e-10
drop1,18.0,180,4615,-1.0165327670829,699.656212506119,-1.0165327670829e-06,6.99656212506119e-10
drop1,19.0,190,4605,-1.1584914863259876,734.0615260274601,-1.1584914863259877e-06,7.340615260274601e-10
drop1,20.0,200,4595,-1.3271753880508053,768.2801288166999,-1.3271753880508053e-06,7.682801288166999e-10
